,Company Name (legal entity),City,Address,Status,Found URLs
,H.JASVANTRAI ENGINEERING PRIVATE LIMITED,Mumbai,"301, SAPHHIRE PLAZA, PLOT NO.20, DADABHAI ROAD, OPP. GOKALIBHAI SCHOOL, VILE PARLE-WEST,MUMBAI,Mumbai City,Maharashtra,400056-India",FOUND,https://hjengineering.codehubtechnologies.com/; https://linkedin.com/company/h.jasvantrai-engineering-private-limited; https://linkedin.com/; https://linkedin.com/about; https://linkedin.com/contact; https://linkedin.com/about-us; https://linkedin.com/about/; https://linkedin.com/contact-us; https://linkedin.com/contact/; https://www.thecompanycheck.com/company/hjasvantrai-engineering-private-limited/U74120MH2011PTC219444; https://economictimes.indiatimes.com/company/hjasvantrai-engineering-private-limited/U74120MH2011PTC219444
,BIG BUSINESS ADVISORS PRIVATE LIMITED,Mumbai,"B 305, SAGAR NAGAR, AMBA MATA ROAD AT AND POST PALGHAR,PALGHAR,Maharashtra,401404-India",NOT_FOUND,https://www.indiafilings.com/search/big-business-advisors-private-limited-cin-U74120MH2011PTC220932; https://tracxn.com/d/legal-entities/india/big-business-advisors-private-limited/__p2vxYfyJ6EtFrvbDgPsBMGbfkZxjxxVsClC-qAG4G7o; https://www.tradeindia.com/big-business-advisors-pvt-ltd-9822652/; https://3ci.in/8-company/651441-big-business-advisors-private-limited-u74120mh2011ptc220932
,KIRAN DRUG HOUSE PRIVATE LIMITED,Mumbai,"SHOP NO. 9, KRISHNARAJ HOUSING SOCIETY GOLEY COLONY,NASHIK,Maharashtra,422002-India",NOT_FOUND,https://mycorporateinfo.com/business/kiran-drug-house-private-limited; https://tracxn.com/d/legal-entities/india/kiran-drug-house-private-limited/__SOrDan471rsr7U4fW4efNnUtfs9fkM3U1F4K2EaQmPc; https://o2osell.com/shops/kiran-drug-house; https://www.thecompanycheck.com/org/kiran-pharma/42cf0a2530; https://allpeople.biz/
,OAK SUPPORT SERVICES PRIVATE LIMITED,Mumbai,"318, VAISHALI APARTMENTS, 12/14 PAREKH STREET, BEHIND GIRGAON COURT, PRARTHANA SAMAJ,MUMBAI,Mumbai City,Maharashtra,400004-India",NOT_FOUND,https://www.tofler.in/oak-support-services-private-limited/company/U74120MH2011PTC223362; https://mycorporateinfo.com/business/oak-support-services-private-limited; https://find-your-support.com/o-support/oak-support-services-mumbai.html; https://datocapital.uk/; https://oak-support-limited.ltds.uk/
,HUNGAMA DIGITAL SERVICES PRIVATE LIMITED,Mumbai,"6th Floor, Wing A, The ORB Sahar, Village Marol, Andheri (East),Mumbai,Mumbai City,Maharashtra,400099-India",NOT_FOUND,https://www.sensibook.com/companies/2241434/U74120MH2011PTC224699/HUNGAMA-DIGITAL-SERVICES-PRIVATE-LIMITED; https://www.masterdata.in/company/hungama_digital_services_private_limited/U74120MH2011PTC224699; https://signalhire.com/; https://www.infyner.com/due-diligence/hungama-digital-services-private-limited/U74120MH2011PTC224699
,RUSTY TRIANGLE FILMS PRIVATE LIMITED,Mumbai,"1301, PALM SPRING COMPLEX, 2/D WING CHS LTD, LINK ROAD, NEAR D-MART, BEHIND CROMA.,MUMBAI,Mumbai City,Maharashtra,400064-India",NOT_FOUND,https://mycorporateinfo.com/business/rusty-triangle-films-private-limited; https://linkedin.com/in/aravindan-arumugam-8891645; https://linkedin.com/; https://linkedin.com/about; https://linkedin.com/contact; https://linkedin.com/about-us; https://linkedin.com/about/; https://linkedin.com/contact-us; https://linkedin.com/contact/; https://gstpan.com/gst/27AAGCR5094L1ZS-rusty-triangle-film-private-limited; https://www.thecompanycheck.com/org/triangle-film-company/687a1afc3c; https://trianglefilms.co.in/
,NATIONAL SECURITIES DEPOSITORY LIMITED,Mumbai,"301, 3rd Floor, Naman Chambers, G Block, Plot No- C-32, Bandra Kurla Complex, Bandra East,Mumbai,Mumbai,Maharashtra,400051-India",FOUND,https://nsdl.com/contact-us; https://nsdl.co.in/
,OM SHRI SAI CRANES (INDIA) PRIVATE LIMITED,Mumbai,"A-2001, BIMA COMPLEX, KALAMBOLI STREET MARKET, KALAMBOLI,NAVI MUMBAI,Maharashtra,410218-India",FOUND,https://www.omsaicrane.com/; https://www.thecompanycheck.com/org/om-shri-sai-cranes/d50c07478a; https://tracxn.com/d/legal-entities/india/om-shri-sai-cranes-india-private-limited/__uerDHstj70O5An4kRapEkFlZZjFcgeXWYSGsQCx5mcQ; https://mycorporateinfo.com/business/om-shri-sai-cranes-india-private-limited; https://www.indiamart.com/omshrisaicranes-india/profile.html
,AMIT CHOCO INDUSTRIES PRIVATE LIMITED,Mumbai,"125, SHREE GANESH SNEHAL APTS FLAY NO. 203, SHRADDANAD PETH SOUTH AMBA,ZARI ROAD,NAGPUR,Maharashtra,440022-India",NOT_FOUND,https://mycorporateinfo.com/business/amit-choco-industries-private-limited; https://www.indiamart.com/amit-industriesmumbai/; https://in.linkedin.com/; https://indiabiz.info/
,ROCKSTARZ FILMS PRIVATE LIMITED,Mumbai,"61, 2ND FLOOR, JUHU SUPREME SHOPPING CENTRE, GULMOHAR X ROAD NO. 9, J.V.P.D., JUHU,,MUMBAI,Mumbai City,Maharashtra,400049-India",NOT_FOUND,https://www.tofler.in/rockstarz-films-private-limited/company/U74120MH2012PTC230672; https://tracxn.com/d/legal-entities/india/rockstarz-films-private-limited/__sxxpLOUTJXXNL4ukbh-CquQ-evZeoE0y66hbigGhgEc; https://mycorporateinfo.com/business/rockstarz-films-private-limited; https://linkedin.com/in/sumeet-mhashelkar-269b0a54; https://linkedin.com/; https://linkedin.com/about; https://linkedin.com/contact; https://linkedin.com/about-us; https://linkedin.com/about/; https://linkedin.com/contact-us; https://linkedin.com/contact/
